"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2012"	"2012"	"Nov., 2012"	"2012/11"	"Suicide"	"2"	3137	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.53%
	"2012"	"2012"	"Dec., 2012"	"2012/12"	"Suicide"	"2"	3171	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.54%
	"2013"	"2013"	"Jan., 2013"	"2013/01"	"Suicide"	"2"	3529	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2013"	"2013"	"Feb., 2013"	"2013/02"	"Suicide"	"2"	3016	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.51%
	"2013"	"2013"	"Mar., 2013"	"2013/03"	"Suicide"	"2"	3576	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2013"	"2013"	"Apr., 2013"	"2013/04"	"Suicide"	"2"	3526	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2013"	"2013"	"May, 2013"	"2013/05"	"Suicide"	"2"	3538	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2013"	"2013"	"Jun., 2013"	"2013/06"	"Suicide"	"2"	3479	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2013"	"2013"	"Jul., 2013"	"2013/07"	"Suicide"	"2"	3640	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.62%
	"2013"	"2013"	"Aug., 2013"	"2013/08"	"Suicide"	"2"	3580	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2013"	"2013"	"Sep., 2013"	"2013/09"	"Suicide"	"2"	3450	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2013"	"2013"	"Oct., 2013"	"2013/10"	"Suicide"	"2"	3467	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2013"	"2013"	"Nov., 2013"	"2013/11"	"Suicide"	"2"	3172	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.54%
	"2013"	"2013"	"Dec., 2013"	"2013/12"	"Suicide"	"2"	3176	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.54%
	"2014"	"2014"	"Jan., 2014"	"2014/01"	"Suicide"	"2"	3320	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.56%
	"2014"	"2014"	"Feb., 2014"	"2014/02"	"Suicide"	"2"	3091	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.52%
	"2014"	"2014"	"Mar., 2014"	"2014/03"	"Suicide"	"2"	3408	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2014"	"2014"	"Apr., 2014"	"2014/04"	"Suicide"	"2"	3606	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2014"	"2014"	"May, 2014"	"2014/05"	"Suicide"	"2"	3589	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2014"	"2014"	"Jun., 2014"	"2014/06"	"Suicide"	"2"	3552	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2014"	"2014"	"Jul., 2014"	"2014/07"	"Suicide"	"2"	3534	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.60%
	"2014"	"2014"	"Aug., 2014"	"2014/08"	"Suicide"	"2"	4027	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.68%
	"2014"	"2014"	"Sep., 2014"	"2014/09"	"Suicide"	"2"	4034	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.68%
	"2014"	"2014"	"Oct., 2014"	"2014/10"	"Suicide"	"2"	3791	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.64%
	"2014"	"2014"	"Nov., 2014"	"2014/11"	"Suicide"	"2"	3480	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2014"	"2014"	"Dec., 2014"	"2014/12"	"Suicide"	"2"	3394	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2015"	"2015"	"Jan., 2015"	"2015/01"	"Suicide"	"2"	3618	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2015"	"2015"	"Feb., 2015"	"2015/02"	"Suicide"	"2"	3215	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.54%
	"2015"	"2015"	"Mar., 2015"	"2015/03"	"Suicide"	"2"	3935	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.67%
	"2015"	"2015"	"Apr., 2015"	"2015/04"	"Suicide"	"2"	3726	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.63%
	"2015"	"2015"	"May, 2015"	"2015/05"	"Suicide"	"2"	3966	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.67%
	"2015"	"2015"	"Jun., 2015"	"2015/06"	"Suicide"	"2"	3785	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.64%
	"2015"	"2015"	"Jul., 2015"	"2015/07"	"Suicide"	"2"	3944	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.67%
	"2015"	"2015"	"Aug., 2015"	"2015/08"	"Suicide"	"2"	3912	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.66%
	"2015"	"2015"	"Sep., 2015"	"2015/09"	"Suicide"	"2"	3578	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.61%
	"2015"	"2015"	"Oct., 2015"	"2015/10"	"Suicide"	"2"	3688	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.62%
	"2015"	"2015"	"Nov., 2015"	"2015/11"	"Suicide"	"2"	3357	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
	"2015"	"2015"	"Dec., 2015"	"2015/12"	"Suicide"	"2"	3469	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.59%
	"2016"	"2016"	"Jan., 2016"	"2016/01"	"Suicide"	"2"	3720	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.63%
	"2016"	"2016"	"Feb., 2016"	"2016/02"	"Suicide"	"2"	3445	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2016"	"2016"	"Mar., 2016"	"2016/03"	"Suicide"	"2"	3921	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.66%
	"2016"	"2016"	"Apr., 2016"	"2016/04"	"Suicide"	"2"	3812	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.64%
	"2016"	"2016"	"May, 2016"	"2016/05"	"Suicide"	"2"	3853	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.65%
	"2016"	"2016"	"Jun., 2016"	"2016/06"	"Suicide"	"2"	3726	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.63%
	"2016"	"2016"	"Jul., 2016"	"2016/07"	"Suicide"	"2"	4033	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.68%
	"2016"	"2016"	"Aug., 2016"	"2016/08"	"Suicide"	"2"	4042	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.68%
	"2016"	"2016"	"Sep., 2016"	"2016/09"	"Suicide"	"2"	3720	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.63%
	"2016"	"2016"	"Oct., 2016"	"2016/10"	"Suicide"	"2"	3838	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.65%
	"2016"	"2016"	"Nov., 2016"	"2016/11"	"Suicide"	"2"	3458	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.58%
	"2016"	"2016"	"Dec., 2016"	"2016/12"	"Suicide"	"2"	3397	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.57%
"---"
"Dataset: Underlying Cause of Death, 1999-2016"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Gender: All"
"Hispanic Origin: All"
"Injury Intent: Suicide"
"Injury Mechanism & All Other Leading Causes: All"
"Place of Death: All"
"Race: All"
"States: All"
"Ten-Year Age Groups: All"
"Weekday: All"
"Year/Month: 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016"
"Group By: Year, Month, Injury Intent"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jul 29, 2018 9:27:19 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Jul 29, 2018 9:27:19 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"6. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2000 Standard Population."
"7. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Age-Adjusted Rates."
"8. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"9. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Confidence-Intervals."
