"Notes"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Age Group"	"Age Group Code"	"Injury Intent"	"Injury Intent Code"	"Injury Mechanism & All Other Leading Causes"	"Injury Mechanism & All Other Leading Causes Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"2003"	"2003"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	12	20776919	0.06 (Unreliable)	0.03	0.10	0.00%
"Total"	"2003"	"2003"	"Female"	"F"	"45-54 years"	"45-54"	"Suicide"	"2"			1594	20776919	7.67	7.30	8.05	0.25%
"Total"	"2003"	"2003"	"Female"	"F"	"45-54 years"	"45-54"					1594	20776919	7.67	7.30	8.05	0.25%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	15	14519419	0.10 (Unreliable)	0.06	0.17	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	27	14519419	0.19	0.12	0.27	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fall"	"GRINJ-003"	31	14519419	0.21	0.15	0.30	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	9	14519419	0.06 (Unreliable)	0.03	0.12	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	316	14519419	2.18	1.94	2.42	0.05%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	4	14519419	0.03 (Unreliable)	0.01	0.07	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	339	14519419	2.33	2.09	2.58	0.05%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	98	14519419	0.67	0.55	0.82	0.02%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	6	14519419	0.04 (Unreliable)	0.02	0.09	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	6	14519419	0.04 (Unreliable)	0.02	0.09	0.00%
	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	5	14519419	0.03 (Unreliable)	0.01	0.08	0.00%
"Total"	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	"Suicide"	"2"			856	14519419	5.90	5.50	6.29	0.13%
"Total"	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"					856	14519419	5.90	5.50	6.29	0.13%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	7	10048202	0.07 (Unreliable)	0.03	0.14	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	10	10048202	0.10 (Unreliable)	0.05	0.18	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fall"	"GRINJ-003"	13	10048202	0.13 (Unreliable)	0.07	0.22	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	2	10048202	0.02 (Unreliable)	0.00	0.07	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	162	10048202	1.61	1.36	1.86	0.02%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	133	10048202	1.32	1.10	1.55	0.02%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	44	10048202	0.44	0.32	0.59	0.01%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	3	10048202	0.03 (Unreliable)	0.01	0.09	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	3	10048202	0.03 (Unreliable)	0.01	0.09	0.00%
	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	4	10048202	0.04 (Unreliable)	0.01	0.10	0.00%
"Total"	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	"Suicide"	"2"			381	10048202	3.79	3.41	4.17	0.06%
"Total"	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"					381	10048202	3.79	3.41	4.17	0.06%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	5	7713157	0.06 (Unreliable)	0.02	0.15	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	5	7713157	0.06 (Unreliable)	0.02	0.15	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Fall"	"GRINJ-003"	13	7713157	0.17 (Unreliable)	0.09	0.29	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	1	7713157	0.01 (Unreliable)	0.00	0.07	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	115	7713157	1.49	1.22	1.76	0.02%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	1	7713157	0.01 (Unreliable)	0.00	0.07	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	106	7713157	1.37	1.11	1.64	0.02%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	54	7713157	0.70	0.53	0.91	0.01%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1	7713157	0.01 (Unreliable)	0.00	0.07	0.00%
	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	5	7713157	0.06 (Unreliable)	0.02	0.15	0.00%
"Total"	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	"Suicide"	"2"			306	7713157	3.97	3.52	4.41	0.05%
"Total"	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"					306	7713157	3.97	3.52	4.41	0.05%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	2	3127975	0.06 (Unreliable)	0.01	0.23	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	5	3127975	0.16 (Unreliable)	0.05	0.37	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Fall"	"GRINJ-003"	10	3127975	0.32 (Unreliable)	0.15	0.59	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	30	3127975	0.96	0.65	1.37	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	32	3127975	1.02	0.70	1.44	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	28	3127975	0.90	0.59	1.29	0.00%
	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	1	3127975	0.03 (Unreliable)	0.00	0.18	0.00%
"Total"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	"Suicide"	"2"			108	3127975	3.45	2.80	4.10	0.02%
"Total"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"					108	3127975	3.45	2.80	4.10	0.02%
"Total"	"2003"	"2003"	"Female"	"F"							6281	147679036	4.25	4.15	4.36	0.97%
	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	1	10039604	0.01 (Unreliable)	0.00	0.06	0.00%
	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	1	10039604	0.01 (Unreliable)	0.00	0.06	0.00%
	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	4	10039604	0.04 (Unreliable)	0.01	0.10	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"	"Suicide"	"2"			6	10039604	0.06 (Unreliable)	0.02	0.13	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"5-9 years"	"5-9"					6	10039604	0.06 (Unreliable)	0.02	0.13	0.00%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	1	10970478	0.01 (Unreliable)	0.00	0.05	0.00%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Fall"	"GRINJ-003"	1	10970478	0.01 (Unreliable)	0.00	0.05	0.00%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	1	10970478	0.01 (Unreliable)	0.00	0.05	0.00%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	62	10970478	0.57	0.43	0.72	0.01%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	3	10970478	0.03 (Unreliable)	0.01	0.08	0.00%
	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	120	10970478	1.09	0.90	1.29	0.02%
"Total"	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"	"Suicide"	"2"			188	10970478	1.71	1.47	1.96	0.03%
"Total"	"2003"	"2003"	"Male"	"M"	"10-14 years"	"10-14"					188	10970478	1.71	1.47	1.96	0.03%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	3	10710599	0.03 (Unreliable)	0.01	0.08	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	4	10710599	0.04 (Unreliable)	0.01	0.10	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fall"	"GRINJ-003"	26	10710599	0.24	0.16	0.36	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	3	10710599	0.03 (Unreliable)	0.01	0.08	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	659	10710599	6.15	5.68	6.62	0.10%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	5	10710599	0.05 (Unreliable)	0.02	0.11	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	60	10710599	0.56	0.43	0.72	0.01%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	444	10710599	4.15	3.76	4.53	0.07%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	12	10710599	0.11 (Unreliable)	0.06	0.20	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	3	10710599	0.03 (Unreliable)	0.01	0.08	0.00%
	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	3	10710599	0.03 (Unreliable)	0.01	0.08	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"	"Suicide"	"2"			1222	10710599	11.41	10.77	12.05	0.19%
"Total"	"2003"	"2003"	"Male"	"M"	"15-19 years"	"15-19"					1222	10710599	11.41	10.77	12.05	0.19%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	18	10497965	0.17 (Unreliable)	0.10	0.27	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	20	10497965	0.19	0.12	0.29	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fall"	"GRINJ-003"	58	10497965	0.55	0.42	0.71	0.01%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	7	10497965	0.07 (Unreliable)	0.03	0.14	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	1220	10497965	11.62	10.97	12.27	0.19%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	6	10497965	0.06 (Unreliable)	0.02	0.12	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	124	10497965	1.18	0.97	1.39	0.02%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	669	10497965	6.37	5.89	6.86	0.10%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	23	10497965	0.22	0.14	0.33	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	9	10497965	0.09 (Unreliable)	0.04	0.16	0.00%
	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	5	10497965	0.05 (Unreliable)	0.02	0.11	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"	"Suicide"	"2"			2159	10497965	20.57	19.70	21.43	0.33%
"Total"	"2003"	"2003"	"Male"	"M"	"20-24 years"	"20-24"					2159	10497965	20.57	19.70	21.43	0.33%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	54	19742873	0.27	0.21	0.36	0.01%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	52	19742873	0.26	0.20	0.35	0.01%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Fall"	"GRINJ-003"	92	19742873	0.47	0.38	0.57	0.01%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	16	19742873	0.08 (Unreliable)	0.05	0.13	0.00%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2099	19742873	10.63	10.18	11.09	0.32%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	19	19742873	0.10 (Unreliable)	0.06	0.15	0.00%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	483	19742873	2.45	2.23	2.66	0.07%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	1255	19742873	6.36	6.01	6.71	0.19%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	43	19742873	0.22	0.16	0.29	0.01%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	21	19742873	0.11	0.07	0.16	0.00%
	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	22	19742873	0.11	0.07	0.17	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	"Suicide"	"2"			4156	19742873	21.05	20.41	21.69	0.64%
"Total"	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"					4156	19742873	21.05	20.41	21.69	0.64%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	105	21947503	0.48	0.39	0.57	0.02%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	52	21947503	0.24	0.18	0.31	0.01%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Fall"	"GRINJ-003"	117	21947503	0.53	0.44	0.63	0.02%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	31	21947503	0.14	0.10	0.20	0.00%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2470	21947503	11.25	10.81	11.70	0.38%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	22	21947503	0.10	0.06	0.15	0.00%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	913	21947503	4.16	3.89	4.43	0.14%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	1301	21947503	5.93	5.61	6.25	0.20%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	65	21947503	0.30	0.23	0.38	0.01%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	38	21947503	0.17	0.12	0.24	0.01%
	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	24	21947503	0.11	0.07	0.16	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	"Suicide"	"2"			5138	21947503	23.41	22.77	24.05	0.79%
"Total"	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"					5138	21947503	23.41	22.77	24.05	0.79%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	143	20043035	0.71	0.60	0.83	0.02%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	38	20043035	0.19	0.13	0.26	0.01%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Fall"	"GRINJ-003"	90	20043035	0.45	0.36	0.55	0.01%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	27	20043035	0.13	0.09	0.20	0.00%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2768	20043035	13.81	13.30	14.32	0.43%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	10	20043035	0.05 (Unreliable)	0.02	0.09	0.00%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	828	20043035	4.13	3.85	4.41	0.13%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Struck by or against"	"GRINJ-016"	3	20043035	0.01 (Unreliable)	0.00	0.04	0.00%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	892	20043035	4.45	4.16	4.74	0.14%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	49	20043035	0.24	0.18	0.32	0.01%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	16	20043035	0.08 (Unreliable)	0.05	0.13	0.00%
	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	23	20043035	0.11	0.07	0.17	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	"Suicide"	"2"			4887	20043035	24.38	23.70	25.07	0.75%
"Total"	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"					4887	20043035	24.38	23.70	25.07	0.75%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	70	13489526	0.52	0.40	0.66	0.01%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	22	13489526	0.16	0.10	0.25	0.00%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fall"	"GRINJ-003"	55	13489526	0.41	0.31	0.53	0.01%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	13	13489526	0.10 (Unreliable)	0.05	0.16	0.00%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	2001	13489526	14.83	14.18	15.48	0.31%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	8	13489526	0.06 (Unreliable)	0.03	0.12	0.00%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	372	13489526	2.76	2.48	3.04	0.06%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	397	13489526	2.94	2.65	3.23	0.06%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	22	13489526	0.16	0.10	0.25	0.00%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	11	13489526	0.08 (Unreliable)	0.04	0.15	0.00%
	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	16	13489526	0.12 (Unreliable)	0.07	0.19	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	"Suicide"	"2"			2987	13489526	22.14	21.35	22.94	0.46%
"Total"	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"					2987	13489526	22.14	21.35	22.94	0.46%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	34	8452713	0.40	0.28	0.56	0.01%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	13	8452713	0.15 (Unreliable)	0.08	0.26	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fall"	"GRINJ-003"	28	8452713	0.33	0.22	0.48	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Fire/Flame"	"GRINJ-004"	3	8452713	0.04 (Unreliable)	0.01	0.10	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Firearm"	"GRINJ-006"	1538	8452713	18.20	17.29	19.10	0.24%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other land transport"	"GRINJ-011"	1	8452713	0.01 (Unreliable)	0.00	0.07	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Poisoning"	"GRINJ-015"	134	8452713	1.59	1.32	1.85	0.02%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Suffocation"	"GRINJ-017"	183	8452713	2.16	1.85	2.48	0.03%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, classifiable Injury"	"GRINJ-018"	7	8452713	0.08 (Unreliable)	0.03	0.17	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Other specified, not elsewhere classified Injury"	"GRINJ-019"	9	8452713	0.11 (Unreliable)	0.05	0.20	0.00%
	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"	"Unspecified Injury"	"GRINJ-020"	4	8452713	0.05 (Unreliable)	0.01	0.12	0.00%
"Total"	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	"Suicide"	"2"			1954	8452713	23.12	22.09	24.14	0.30%
"Total"	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"					1954	8452713	23.12	22.09	24.14	0.30%
	"2003"	"2003"	"Male"	"M"	"75-84 years"	"75-84"	"Suicide"	"2"	"Cut/Pierce"	"GRINJ-001"	28	5183281	0.54	0.36	0.78	0.00%
	"2003"	"2003"	"Male"	"M"	"75-84 years"	"75-84"	"Suicide"	"2"	"Drowning"	"GRINJ-002"	11	5183281	0.21 (Unreliable)	0.11	0.38	0.00%
	"2003"	"2003"	"Male"	"M"	"75-84 years"	"75-84"	"Suicide"	"2"	"Fall"	"GRINJ-003"	23	5183281	0.44	0.28	0.67	0.00%
